order,n_adhesion,n_background,median_adhesion,median_background,u_stat,p_value,p_value_bh
Acarosporales,382,382,33.15762471141032,19.711371678345937,130595.5,1.232344707091571e-79,2.6341368114082332e-79
Acrospermales,137,137,29.19463087248322,19.48608137044968,16250.0,1.217760062269457e-25,1.565691508632159e-25
Agaricales,50905,50905,26.701570680628272,20.21943573667712,1975258048.5,0.0,0.0
Agaricostilbales,232,232,29.37134981714972,19.561305534872176,47680.0,6.904042143308011e-47,1.1137652891562926e-46
Alaninales,924,924,36.09022556390977,17.932653391614053,802278.5,6.0394652350971566e-235,1.912497324447433e-234
Alloascoideales,309,309,35.820895522388064,19.13214990138067,90164.5,1.8639909955293658e-81,4.086441797891302e-81
Amylocorticiales,241,241,28.431372549019606,19.435736677115987,48342.0,1.566850482364075e-36,2.2900122434551865e-36
Archaeosporales,575,575,22.45614035087719,17.431192660550458,204991.0,1.8429782783941855e-12,2.0464239325026347e-12
Arthoniales,315,315,32.14285714285714,19.83471074380165,88592.5,2.7120607257312275e-65,5.21081330449483e-65
Ascoideales,2618,2618,36.11748216106014,17.562071743292208,6575634.5,0.0,0.0
Atheliales,644,644,26.439544650751547,19.751734848060888,315015.0,1.6239796612569927e-58,2.8050557785348056e-58
Atractiellales,109,109,29.310344827586206,20.35010940919037,10227.0,3.4363593667563445e-20,4.1674996575555664e-20
Aulographales,360,360,31.756258105827513,18.893295758967398,115908.0,6.291012277317563e-75,1.2806703564539325e-74
Auriculariales,1623,1623,26.720647773279357,19.21397379912664,2168390.5,3.922046851427345e-223,1.1766140554282035e-222
Basidiobolales,953,953,25.5663430420712,18.160919540229884,650645.5,3.711363522834935e-60,6.475950636783407e-60
Blastocladiales,786,786,28.40118343195266,19.294281390308424,487851.5,5.402860698779527e-88,1.2156436572253935e-87
Boletales,25603,25603,24.489795918367346,20.0,467280445.0,0.0,0.0
Botryosphaeriales,8644,8644,29.23287095418243,18.659112444106842,65565904.5,0.0,0.0
Caliciales,433,433,31.32387706855792,19.148936170212767,168176.0,6.134113921784081e-91,1.4174776765203755e-90
Calosphaeriales,198,198,28.122415219189413,18.23423458072125,34550.5,2.3544833589671234e-39,3.531725038450685e-39
Candelariales,357,357,32.42424242424242,19.52461799660441,115635.5,3.7169584730770387e-79,7.846912332051526e-79
Cantharellales,5954,5954,27.61549395877754,20.103986135181977,26968087.5,0.0,0.0
Capnodiales,705,705,32.23684210526316,18.91891891891892,449915.5,5.812166203665867e-153,1.6030329368175216e-152
Caulochytriales,47,47,33.67609254498714,20.97902097902098,1925.0,5.619169506734537e-10,6.120241946825514e-10
Cephalothecales,345,345,29.09090909090909,18.446601941747574,105284.0,1.921040265933434e-68,3.775837764076059e-68
Ceraceosorales,82,82,28.536607919132962,19.750530313615407,5871.0,1.5849182155085728e-16,1.8563083209038764e-16
Chaetomellales,186,186,29.60354720918101,19.072881141846658,29975.5,2.292924509590231e-34,3.2503404050282624e-34
Chaetosphaeriales,506,506,27.15155504360704,18.266351911561493,224582.5,7.97240786248506e-96,1.893446867340202e-95
Chaetothyriales,7050,7050,31.548843817362332,19.09090909090909,44673928.0,0.0,0.0
Chytridiales,4990,4990,28.7846956964604,18.830342685304522,21286253.0,0.0,0.0
